Tanggal,curah_hujan
02-01-2013,0.0
03-01-2013,0.0
04-01-2013,12.5
05-01-2013,3.1
06-01-2013,0.0
07-01-2013,7.9
08-01-2013,0.0
09-01-2013,1.5
10-01-2013,0.0
11-01-2013,0.0
12-01-2013,6.9
13-01-2013,2.7
14-01-2013,1.5
15-01-2013,1.0
16-01-2013,2.5
17-01-2013,0.2
18-01-2013,2.3
19-01-2013,2.3
20-01-2013,3.6
21-01-2013,5.0
22-01-2013,0.0
23-01-2013,3.5
24-01-2013,2.5
25-01-2013,0.0
26-01-2013,2.0
27-01-2013,0.0
28-01-2013,17.1
29-01-2013,2.8
30-01-2013,0.6
31-01-2013,0.0
01-02-2013,1.0
02-02-2013,12.0
03-02-2013,0.0
04-02-2013,0.0
05-02-2013,94.0
06-02-2013,2.0
07-02-2013,39.5
08-02-2013,81.6
09-02-2013,53.8
10-02-2013,1.9
11-02-2013,16.0
12-02-2013,2.2
13-02-2013,23.3
14-02-2013,25.2
15-02-2013,0.9
16-02-2013,61.0
17-02-2013,1.1
18-02-2013,1.6
19-02-2013,43.3
20-02-2013,13.5
21-02-2013,38.5
22-02-2013,2.2
23-02-2013,23.4
24-02-2013,7.0
25-02-2013,22.7
26-02-2013,1.0
27-02-2013,0.0
28-02-2013,18.5
01-03-2013,0.0
02-03-2013,0.0
03-03-2013,0.0
04-03-2013,5.2
05-03-2013,1.3
06-03-2013,0.5
07-03-2013,0.0
08-03-2013,5.5
09-03-2013,0.1
10-03-2013,0.0
11-03-2013,4.5
12-03-2013,3.4
13-03-2013,3.7
14-03-2013,0.3
15-03-2013,0.0
16-03-2013,0.0
17-03-2013,2.5
18-03-2013,0.0
19-03-2013,2.0
20-03-2013,3.5
21-03-2013,1.6
22-03-2013,0.0
23-03-2013,1.6
24-03-2013,0.3
25-03-2013,1.6
26-03-2013,1.5
27-03-2013,0.0
28-03-2013,0.0
29-03-2013,1.7
30-03-2013,2.0
31-03-2013,0.0
01-04-2013,0.0
02-04-2013,0.0
03-04-2013,7.7
04-04-2013,3.3
05-04-2013,2.1
06-04-2013,12.4
07-04-2013,1.0
08-04-2013,36.6
09-04-2013,0.0
10-04-2013,0.6
11-04-2013,0.0
12-04-2013,19.5
13-04-2013,11.0
14-04-2013,11.0
15-04-2013,11.0
16-04-2013,16.0
17-04-2013,0.0
18-04-2013,0.0
19-04-2013,9.1
20-04-2013,17.3
21-04-2013,0.0
22-04-2013,9.9
23-04-2013,0.0
24-04-2013,3.1
25-04-2013,1.5
26-04-2013,0.0
27-04-2013,5.5
28-04-2013,5.5
29-04-2013,3.4
30-04-2013,24.0
01-05-2013,0.0
02-05-2013,24.0
03-05-2013,1.5
04-05-2013,8.5
05-05-2013,0.0
06-05-2013,0.5
07-05-2013,1.9
08-05-2013,0.0
09-05-2013,27.8
10-05-2013,0.0
11-05-2013,4.0
12-05-2013,14.8
13-05-2013,0.3
14-05-2013,19.4
15-05-2013,12.5
16-05-2013,7.7
17-05-2013,10.5
18-05-2013,0.0
19-05-2013,44.2
20-05-2013,26.9
21-05-2013,17.5
22-05-2013,2.2
23-05-2013,10.2
24-05-2013,4.3
25-05-2013,2.5
26-05-2013,10.5
27-05-2013,1.7
28-05-2013,2.1
29-05-2013,15.0
30-05-2013,7.9
31-05-2013,7.4
01-06-2013,0.3
02-06-2013,5.0
03-06-2013,2.6
04-06-2013,2.6
05-06-2013,18.9
06-06-2013,0.0
07-06-2013,13.2
08-06-2013,24.4
09-06-2013,8.4
10-06-2013,1.5
11-06-2013,0.6
12-06-2013,0.0
13-06-2013,5.3
14-06-2013,4.9
15-06-2013,0.0
16-06-2013,0.0
17-06-2013,10.5
18-06-2013,10.0
19-06-2013,0.0
20-06-2013,0.0
21-06-2013,0.0
22-06-2013,6.0
23-06-2013,0.0
24-06-2013,0.0
25-06-2013,8.0
26-06-2013,2.6
27-06-2013,0.0
28-06-2013,0.2
29-06-2013,5.0
30-06-2013,4.5
